Ticker,N,K,Stop %,CAGR %,Total Return %,RDR,Win %,Max DD %,Trades,WF Profitable,Data Through
AXSM,32,2.8,0.5,49.9,6678.1,14.5,90.0,6.8,10,5/13,2026-06-05
CPRX,34,2.4,0.6,40.8,3433.8,7.97,88.2,12.2,17,10/13,2026-06-05
STRL,21,1.9,0.6,39.4,3085.6,10.98,79.4,8.8,34,12/13,2026-06-04
RMBS,39,2.2,0.3,33.7,1963.0,8.77,90.9,10.8,22,13/13,2026-06-04
SPXC,21,1.5,0.2,33.2,1887.5,5.82,84.0,16.3,50,12/13,2026-06-04
SANM,16,1.9,0.4,30.9,1554.6,15.79,82.2,6.0,45,13/13,2026-06-04
AGM,17,2.8,0.3,29.1,1333.1,7.82,100.0,11.8,11,6/13,2026-06-05
DY,50,1.9,0.3,28.9,1307.0,8.55,84.2,10.9,19,11/13,2026-06-04
MOD,18,2.5,0.3,27.9,1193.2,5.76,82.4,15.7,17,8/13,2026-06-04
AEIS,53,2.4,0.3,26.3,1036.7,11.49,81.8,7.9,11,13/13,2026-06-05
TTMI,16,1.5,0.2,22.2,705.9,7.67,78.0,11.4,59,11/13,2026-06-04
ABM,38,1.9,0.2,20.5,598.2,5.93,80.8,14.4,26,11/13,2026-06-05
